idx,kind,water,dist,step,seg,acc_pred,amp,amp0,accel,sh_amp,sh_cyc,zz_amp,zz_cyc,tilt_deg,tilt_cyc,sh_axis,nudge
357,shake,0.085,0.331,8,50,2.8,,,,0.0073,3.45,,,,,x,
358,zigzag,0.085,0.3268,8,50,2.83,,,,,,0.0202,2.2,,,,
359,tilt,0.085,0.2521,8,50,3.06,,,,,,,,10.55,2.0,,
360,static,0.055,0.384,7,57,1.2,,,,,,,,,,,0.0157
361,curve,0.055,0.3388,7,57,2.44,0.04,0.0466,,,,,,,,,
362,stop,0.055,0.2648,6,67,1.17,,,2,,,,,,,,
363,shake,0.055,0.2592,7,57,3.44,,,,0.0129,2.94,,,,,x,
364,zigzag,0.055,0.3779,5,80,3.22,,,,,,0.0107,3.22,,,,
365,tilt,0.055,0.3485,8,50,1.39,,,,,,,,12.39,1.0,,
366,static,0.065,0.3993,8,50,1.25,,,,,,,,,,,0.0001
367,curve,0.065,0.2412,6,67,4.83,0.0868,0.0263,,,,,,,,,
368,stop,0.065,0.2462,8,50,1.86,,,3,,,,,,,,
369,shake,0.065,0.3103,6,67,5.02,,,,0.0208,2.81,,,,,x,
370,zigzag,0.065,0.262,7,57,3.71,,,,,,0.0123,3.3,,,,
371,tilt,0.065,0.2582,8,50,0.96,,,,,,,,7.53,1.0,,
372,static,0.075,0.3348,7,57,1.05,,,,,,,,,,,0.0101
373,curve,0.075,0.3897,6,67,2.77,0.0452,0.0312,,,,,,,,,
374,stop,0.075,0.3791,5,80,1.68,,,2,,,,,,,,
375,shake,0.075,0.2527,8,50,4.04,,,,0.0106,3.53,,,,,y,
376,zigzag,0.075,0.2963,5,80,3.54,,,,,,0.0216,2.42,,,,
377,tilt,0.075,0.3678,7,57,1.17,,,,,,,,13.87,0.0,,
378,static,0.085,0.3287,6,67,1.03,,,,,,,,,,,0.0191
379,curve,0.085,0.2677,6,67,3.16,0.0554,0.0422,,,,,,,,,
380,stop,0.085,0.3573,6,67,1.58,,,2,,,,,,,,
381,shake,0.085,0.2686,6,67,2.2,,,,0.0091,2.73,,,,,x,
382,zigzag,0.085,0.3624,6,67,4.51,,,,,,0.0167,3.11,,,,
383,tilt,0.085,0.2923,8,50,3.28,,,,,,,,11.25,2.0,,
384,static,0.055,0.3649,7,57,1.14,,,,,,,,,,,0.016
385,curve,0.055,0.3204,5,80,4.94,0.088,0.0389,,,,,,,,,
386,stop,0.055,0.3614,8,50,1.6,,,2,,,,,,,,
387,shake,0.055,0.2864,6,67,4.45,,,,0.0246,2.43,,,,,x,
388,zigzag,0.055,0.2712,8,50,4.65,,,,,,0.0269,2.51,,,,
389,tilt,0.055,0.2627,6,67,0.83,,,,,,,,7.32,0.0,,
390,static,0.065,0.2668,7,57,0.83,,,,,,,,,,,0.0175
391,curve,0.065,0.3809,5,80,4.83,0.0852,0.0386,,,,,,,,,
392,stop,0.065,0.3569,5,80,1.58,,,2,,,,,,,,
393,shake,0.065,0.2423,8,50,3.94,,,,0.022,2.42,,,,,x,
394,zigzag,0.065,0.3351,5,80,5.09,,,,,,0.0288,2.53,,,,
395,tilt,0.065,0.393,5,80,1.23,,,,,,,,7.14,0.0,,
396,static,0.075,0.3218,5,80,1.01,,,,,,,,,,,0.0135
397,curve,0.075,0.286,7,57,3.38,0.0592,0.0756,,,,,,,,,
398,stop,0.075,0.3731,7,57,1.65,,,2,,,,,,,,
399,shake,0.075,0.3173,5,80,3.02,,,,0.0089,3.27,,,,,x,
400,zigzag,0.075,0.2832,7,57,2.98,,,,,,0.0098,3.28,,,,
401,tilt,0.075,0.2854,7,57,1.17,,,,,,,,10.74,1.0,,
402,static,0.085,0.2547,7,57,0.8,,,,,,,,,,,0.0008
403,curve,0.085,0.297,8,50,2.95,0.051,0.0515,,,,,,,,,
404,stop,0.085,0.2522,6,67,1.9,,,3,,,,,,,,
405,shake,0.085,0.2533,7,57,3.27,,,,0.0175,2.46,,,,,x,
406,zigzag,0.085,0.3016,7,57,3.0,,,,,,0.0107,3.14,,,,
407,tilt,0.085,0.3344,7,57,3.24,,,,,,,,10.95,2.0,,
408,static,0.055,0.3372,5,80,1.05,,,,,,,,,,,0.0077
409,curve,0.055,0.2475,5,80,4.12,0.0735,0.0537,,,,,,,,,
410,stop,0.055,0.319,6,67,1.41,,,2,,,,,,,,
411,shake,0.055,0.3468,5,80,3.83,,,,0.0109,3.35,,,,,y,
412,zigzag,0.055,0.2583,8,50,4.64,,,,,,0.0175,3.11,,,,
413,tilt,0.055,0.3826,5,80,1.2,,,,,,,,8.46,0.0,,
414,static,0.065,0.3962,5,80,1.24,,,,,,,,,,,0.016
415,curve,0.065,0.3961,5,80,2.53,0.0401,0.0421,,,,,,,,,
416,stop,0.065,0.3057,5,80,2.31,,,3,,,,,,,,
417,shake,0.065,0.3489,6,67,4.88,,,,0.0198,2.83,,,,,x,
418,zigzag,0.065,0.3574,6,67,4.2,,,,,,0.0141,3.26,,,,
419,tilt,0.065,0.3679,7,57,2.06,,,,,,,,6.09,2.0,,
420,static,0.075,0.3203,8,50,1.0,,,,,,,,,,,0.0122
421,curve,0.075,0.2469,5,80,4.92,0.0883,0.0525,,,,,,,,,
422,stop,0.075,0.3962,5,80,1.75,,,2,,,,,,,,
423,shake,0.075,0.3336,7,57,2.98,,,,0.0107,2.95,,,,,y,
424,zigzag,0.075,0.3837,5,80,3.53,,,,,,0.0219,2.37,,,,
425,tilt,0.075,0.3367,8,50,1.39,,,,,,,,13.01,1.0,,
426,static,0.085,0.2984,8,50,0.93,,,,,,,,,,,0.0171
427,curve,0.085,0.3709,7,57,5.03,0.089,0.055,,,,,,,,,
428,stop,0.085,0.3717,7,57,1.64,,,2,,,,,,,,
429,shake,0.085,0.2507,6,67,4.65,,,,0.0161,3.08,,,,,y,
430,zigzag,0.085,0.3445,8,50,4.72,,,,,,0.0214,2.82,,,,
431,tilt,0.085,0.3527,6,67,1.34,,,,,,,,10.77,1.0,,
432,static,0.055,0.3947,6,67,1.23,,,,,,,,,,,0.0123
433,curve,0.055,0.308,7,57,3.3,0.0574,0.0549,,,,,,,,,
434,stop,0.055,0.2414,8,50,1.07,,,2,,,,,,,,
435,shake,0.055,0.2831,7,57,2.36,,,,0.0065,3.35,,,,,y,
436,zigzag,0.055,0.3608,7,57,2.45,,,,,,0.0084,3.1,,,,
437,tilt,0.055,0.3283,7,57,3.56,,,,,,,,12.17,2.0,,
438,static,0.065,0.2844,5,80,0.89,,,,,,,,,,,0.0091
439,curve,0.065,0.3545,7,57,4.33,0.0762,0.0273,,,,,,,,,
440,stop,0.065,0.273,7,57,1.21,,,2,,,,,,,,
441,shake,0.065,0.3726,7,57,4.52,,,,0.0123,3.44,,,,,y,
442,zigzag,0.065,0.2935,5,80,2.49,,,,,,0.0108,2.82,,,,
443,tilt,0.065,0.3961,7,57,3.96,,,,,,,,13.44,2.0,,
444,static,0.075,0.3856,8,50,1.2,,,,,,,,,,,0.0061
445,curve,0.075,0.2624,5,80,4.98,0.0894,0.0785,,,,,,,,,
446,stop,0.075,0.3323,8,50,2.51,,,3,,,,,,,,
447,shake,0.075,0.2936,7,57,3.73,,,,0.0105,3.39,,,,,y,
448,zigzag,0.075,0.2793,8,50,2.51,,,,,,0.0105,2.88,,,,
449,tilt,0.075,0.256,8,50,0.82,,,,,,,,11.27,0.0,,
450,static,0.085,0.3487,8,50,1.09,,,,,,,,,,,0.0104
451,curve,0.085,0.3376,6,67,4.48,0.0792,0.0476,,,,,,,,,
452,stop,0.085,0.2649,5,80,2.0,,,3,,,,,,,,
453,shake,0.085,0.3987,5,80,4.21,,,,0.0225,2.44,,,,,y,
454,zigzag,0.085,0.3268,8,50,4.35,,,,,,0.0257,2.47,,,,
455,tilt,0.085,0.3426,5,80,1.09,,,,,,,,13.0,0.0,,
456,static,0.055,0.3297,7,57,1.03,,,,,,,,,,,0.0157
457,curve,0.055,0.3728,5,80,2.4,0.0382,0.0623,,,,,,,,,
458,stop,0.055,0.3804,7,57,2.87,,,3,,,,,,,,
459,shake,0.055,0.297,8,50,3.92,,,,0.0127,3.16,,,,,y,
460,zigzag,0.055,0.254,5,80,4.12,,,,,,0.0156,3.1,,,,
461,tilt,0.055,0.2773,6,67,1.93,,,,,,,,6.14,2.0,,
462,static,0.065,0.2777,7,57,0.87,,,,,,,,,,,0.0002
463,curve,0.065,0.3353,6,67,2.44,0.04,0.0758,,,,,,,,,
464,stop,0.065,0.3747,6,67,2.83,,,3,,,,,,,,
465,shake,0.065,0.2819,8,50,3.05,,,,0.0152,2.53,,,,,x,
466,zigzag,0.065,0.3412,8,50,2.3,,,,,,0.0068,3.33,,,,
467,tilt,0.065,0.2463,6,67,0.79,,,,,,,,9.81,0.0,,
468,static,0.075,0.3179,6,67,0.99,,,,,,,,,,,0.0142
469,curve,0.075,0.3759,6,67,5.03,0.0889,0.0216,,,,,,,,,
470,stop,0.075,0.3442,5,80,1.52,,,2,,,,,,,,
471,shake,0.075,0.3275,6,67,3.75,,,,0.0126,3.09,,,,,x,
472,zigzag,0.075,0.3399,7,57,2.32,,,,,,0.0135,2.38,,,,
473,tilt,0.075,0.3391,6,67,1.07,,,,,,,,6.8,0.0,,
474,static,0.085,0.3469,5,80,1.08,,,,,,,,,,,0.019
475,curve,0.085,0.3484,8,50,4.48,0.079,0.062,,,,,,,,,
476,stop,0.085,0.2549,6,67,1.13,,,2,,,,,,,,
477,shake,0.085,0.2407,7,57,2.33,,,,0.0066,3.34,,,,,y,
478,zigzag,0.085,0.3868,5,80,4.41,,,,,,0.0266,2.43,,,,
479,tilt,0.085,0.3083,6,67,1.13,,,,,,,,8.55,1.0,,
480,static,0.055,0.3637,8,50,1.14,,,,,,,,,,,0.0095
481,curve,0.055,0.269,8,50,2.45,0.0419,0.0287,,,,,,,,,
482,stop,0.055,0.3413,6,67,2.58,,,3,,,,,,,,
483,shake,0.055,0.288,8,50,3.95,,,,0.0103,3.53,,,,,y,
484,zigzag,0.055,0.3341,7,57,4.42,,,,,,0.0225,2.66,,,,
485,tilt,0.055,0.3545,5,80,1.12,,,,,,,,8.12,0.0,,
486,static,0.065,0.352,8,50,1.1,,,,,,,,,,,0.0037
487,curve,0.065,0.3365,7,57,4.94,0.0877,0.0668,,,,,,,,,
488,stop,0.065,0.2535,5,80,1.12,,,2,,,,,,,,
489,shake,0.065,0.3524,6,67,4.39,,,,0.0164,2.94,,,,,x,
490,zigzag,0.065,0.2583,7,57,2.33,,,,,,0.009,3.0,,,,
491,tilt,0.065,0.2495,8,50,1.01,,,,,,,,9.09,1.0,,
492,static,0.075,0.3896,6,67,1.22,,,,,,,,,,,0.0093
493,curve,0.075,0.3446,8,50,4.65,0.0823,0.0642,,,,,,,,,
494,stop,0.075,0.2786,7,57,2.1,,,3,,,,,,,,
495,shake,0.075,0.3362,8,50,3.34,,,,0.0083,3.57,,,,,y,
496,zigzag,0.075,0.3546,6,67,4.07,,,,,,0.0193,2.74,,,,
497,tilt,0.075,0.3038,7,57,0.98,,,,,,,,13.89,0.0,,
498,static,0.085,0.2453,7,57,0.77,,,,,,,,,,,0.0189
499,curve,0.085,0.3443,7,57,4.26,0.075,0.0591,,,,,,,,,
500,stop,0.085,0.2914,7,57,1.29,,,2,,,,,,,,
501,shake,0.085,0.3299,7,57,3.56,,,,0.0089,3.57,,,,,x,
502,zigzag,0.085,0.2866,8,50,2.92,,,,,,0.014,2.71,,,,
503,tilt,0.085,0.2765,6,67,3.19,,,,,,,,10.98,2.0,,
504,static,0.055,0.2836,7,57,0.89,,,,,,,,,,,0.0079
505,curve,0.055,0.3195,5,80,4.42,0.0783,0.0642,,,,,,,,,
506,stop,0.055,0.2968,8,50,2.24,,,3,,,,,,,,
507,shake,0.055,0.3519,8,50,3.84,,,,0.0149,2.87,,,,,y,
508,zigzag,0.055,0.3891,5,80,2.38,,,,,,0.0092,2.87,,,,
509,tilt,0.055,0.3686,5,80,1.23,,,,,,,,6.1,1.0,,
510,static,0.065,0.3694,5,80,1.15,,,,,,,,,,,0.0018
511,curve,0.065,0.2695,5,80,3.6,0.0637,0.0698,,,,,,,,,
512,stop,0.065,0.2666,8,50,2.01,,,3,,,,,,,,
513,shake,0.065,0.3773,8,50,3.11,,,,0.008,3.46,,,,,x,
514,zigzag,0.065,0.3502,6,67,4.3,,,,,,0.0221,2.64,,,,
515,tilt,0.065,0.2825,8,50,2.44,,,,,,,,8.13,2.0,,
516,static,0.075,0.2499,5,80,0.78,,,,,,,,,,,0.0167
517,curve,0.075,0.3356,5,80,3.91,0.0684,0.0668,,,,,,,,,
518,stop,0.075,0.369,5,80,1.63,,,2,,,,,,,,
519,shake,0.075,0.3549,5,80,2.89,,,,0.0089,3.16,,,,,y,
520,zigzag,0.075,0.365,8,50,3.97,,,,,,0.0215,2.56,,,,
521,tilt,0.075,0.2649,8,50,1.21,,,,,,,,12.66,1.0,,
522,static,0.085,0.3745,5,80,1.17,,,,,,,,,,,0.0006
523,curve,0.085,0.2883,5,80,4.36,0.0776,0.0452,,,,,,,,,
524,stop,0.085,0.3253,5,80,2.46,,,3,,,,,,,,
525,shake,0.085,0.3335,7,57,4.25,,,,0.0121,3.37,,,,,y,
526,zigzag,0.085,0.3872,6,67,4.6,,,,,,0.0201,2.86,,,,
527,tilt,0.085,0.3704,6,67,3.04,,,,,,,,10.04,2.0,,
528,static,0.055,0.3591,8,50,1.12,,,,,,,,,,,0.0121
529,curve,0.055,0.2918,7,57,3.32,0.058,0.0283,,,,,,,,,
530,stop,0.055,0.3351,8,50,1.48,,,2,,,,,,,,
531,shake,0.055,0.2433,8,50,3.36,,,,0.0176,2.49,,,,,y,
532,zigzag,0.055,0.3184,5,80,2.45,,,,,,0.0088,3.07,,,,
533,tilt,0.055,0.3483,6,67,1.1,,,,,,,,7.68,0.0,,
534,static,0.065,0.2803,8,50,0.88,,,,,,,,,,,0.0012
535,curve,0.065,0.2803,7,57,4.23,0.0753,0.0798,,,,,,,,,
536,stop,0.065,0.3913,6,67,1.73,,,2,,,,,,,,
537,shake,0.065,0.3596,5,80,2.42,,,,0.0102,2.65,,,,,x,
538,zigzag,0.065,0.3727,7,57,2.48,,,,,,0.0098,2.88,,,,
539,tilt,0.065,0.3089,6,67,1.09,,,,,,,,7.16,1.0,,
540,static,0.075,0.3939,5,80,1.23,,,,,,,,,,,0.0089
541,curve,0.075,0.3079,5,80,3.47,0.0606,0.0782,,,,,,,,,
542,stop,0.075,0.2766,7,57,1.22,,,2,,,,,,,,
543,shake,0.075,0.3643,7,57,3.21,,,,0.0106,3.07,,,,,y,
544,zigzag,0.075,0.336,7,57,4.42,,,,,,0.0269,2.43,,,,
545,tilt,0.075,0.2824,7,57,2.85,,,,,,,,9.66,2.0,,
546,static,0.085,0.3496,7,57,1.09,,,,,,,,,,,0.0026
547,curve,0.085,0.283,6,67,2.62,0.0448,0.0581,,,,,,,,,
548,stop,0.085,0.2647,8,50,1.17,,,2,,,,,,,,
549,shake,0.085,0.295,8,50,4.96,,,,0.025,2.55,,,,,x,
550,zigzag,0.085,0.3513,7,57,4.13,,,,,,0.0138,3.27,,,,
551,tilt,0.085,0.3081,6,67,2.47,,,,,,,,8.14,2.0,,
552,static,0.055,0.343,6,67,1.07,,,,,,,,,,,0.0143
553,curve,0.055,0.3036,7,57,4.55,0.0809,0.065,,,,,,,,,
554,stop,0.055,0.3756,5,80,2.84,,,3,,,,,,,,
555,shake,0.055,0.3676,7,57,3.1,,,,0.0124,2.78,,,,,x,
556,zigzag,0.055,0.3919,7,57,4.05,,,,,,0.0259,2.35,,,,
557,tilt,0.055,0.3986,7,57,1.26,,,,,,,,9.66,0.0,,
558,static,0.065,0.2403,8,50,0.75,,,,,,,,,,,0.0039
559,curve,0.065,0.3198,5,80,3.77,0.0661,0.0473,,,,,,,,,
560,stop,0.065,0.3757,5,80,2.84,,,3,,,,,,,,
561,shake,0.065,0.2797,5,80,4.13,,,,0.0111,3.48,,,,,x,
562,zigzag,0.065,0.3502,7,57,4.66,,,,,,0.0299,2.37,,,,
563,tilt,0.065,0.3811,8,50,1.2,,,,,,,,10.41,0.0,,
564,static,0.075,0.326,7,57,1.02,,,,,,,,,,,0.0062
565,curve,0.075,0.2628,6,67,2.51,0.0432,0.0485,,,,,,,,,
566,stop,0.075,0.257,8,50,1.94,,,3,,,,,,,,
567,shake,0.075,0.3249,5,80,4.71,,,,0.0147,3.23,,,,,y,
568,zigzag,0.075,0.3269,7,57,4.93,,,,,,0.0169,3.25,,,,
569,tilt,0.075,0.2818,7,57,1.23,,,,,,,,12.18,1.0,,
570,static,0.085,0.3463,7,57,1.08,,,,,,,,,,,0.0074
571,curve,0.085,0.3572,7,57,3.73,0.0648,0.03,,,,,,,,,
572,stop,0.085,0.3312,5,80,1.46,,,2,,,,,,,,
573,shake,0.085,0.3749,5,80,3.77,,,,0.0122,3.13,,,,,y,
574,zigzag,0.085,0.3963,7,57,3.36,,,,,,0.0161,2.68,,,,
575,tilt,0.085,0.3363,7,57,1.2,,,,,,,,8.34,1.0,,
576,static,0.055,0.3316,7,57,1.04,,,,,,,,,,,0.013
577,curve,0.055,0.3874,5,80,3.48,0.0593,0.0434,,,,,,,,,
578,stop,0.055,0.3429,5,80,2.59,,,3,,,,,,,,
579,shake,0.055,0.3395,5,80,3.94,,,,0.011,3.39,,,,,x,
580,zigzag,0.055,0.3255,5,80,2.82,,,,,,0.0089,3.31,,,,
581,tilt,0.055,0.3788,5,80,2.69,,,,,,,,8.61,2.0,,
582,static,0.065,0.2846,7,57,0.89,,,,,,,,,,,0.0113
583,curve,0.065,0.3992,8,50,4.61,0.0807,0.0352,,,,,,,,,
584,stop,0.065,0.3596,7,57,1.59,,,2,,,,,,,,
585,shake,0.065,0.308,8,50,4.38,,,,0.015,3.08,,,,,y,
586,zigzag,0.065,0.3119,6,67,3.32,,,,,,0.0188,2.5,,,,
587,tilt,0.065,0.3053,7,57,0.97,,,,,,,,10.13,0.0,,
588,static,0.075,0.314,7,57,0.98,,,,,,,,,,,0.0028
589,curve,0.075,0.3418,5,80,3.17,0.0542,0.0506,,,,,,,,,
590,stop,0.075,0.3376,5,80,1.49,,,2,,,,,,,,
591,shake,0.075,0.3609,7,57,5.0,,,,0.0134,3.48,,,,,x,
592,zigzag,0.075,0.3169,7,57,2.91,,,,,,0.0097,3.23,,,,
593,tilt,0.075,0.3275,8,50,1.32,,,,,,,,11.94,1.0,,
594,static,0.085,0.3062,8,50,0.96,,,,,,,,,,,0.0068
595,curve,0.085,0.2962,7,57,4.7,0.0838,0.0251,,,,,,,,,
596,stop,0.085,0.2938,5,80,1.3,,,2,,,,,,,,
597,shake,0.085,0.3635,8,50,4.66,,,,0.0132,3.38,,,,,x,
598,zigzag,0.085,0.3534,6,67,2.78,,,,,,0.0096,3.14,,,,
599,tilt,0.085,0.262,5,80,0.97,,,,,,,,7.33,1.0,,
600,static,0.055,0.3563,5,80,1.11,,,,,,,,,,,0.015
601,curve,0.055,0.2841,5,80,4.84,0.0865,0.0724,,,,,,,,,
602,stop,0.055,0.3291,7,57,1.45,,,2,,,,,,,,
603,shake,0.055,0.279,6,67,3.06,,,,0.0079,3.52,,,,,y,
604,zigzag,0.055,0.392,6,67,5.12,,,,,,0.0181,3.19,,,,
605,tilt,0.055,0.3702,7,57,1.31,,,,,,,,8.77,1.0,,
606,static,0.065,0.3415,5,80,1.07,,,,,,,,,,,0.0136
607,curve,0.065,0.3732,5,80,3.24,0.0549,0.0751,,,,,,,,,
608,stop,0.065,0.3521,7,57,1.56,,,2,,,,,,,,
609,shake,0.065,0.3732,8,50,3.0,,,,0.0083,3.33,,,,,x,
610,zigzag,0.065,0.2715,6,67,3.53,,,,,,0.0208,2.47,,,,
611,tilt,0.065,0.2852,5,80,2.06,,,,,,,,6.63,2.0,,
612,static,0.075,0.289,5,80,0.9,,,,,,,,,,,0.0115
613,curve,0.075,0.339,8,50,5.05,0.0898,0.0512,,,,,,,,,
614,stop,0.075,0.27,8,50,2.04,,,3,,,,,,,,
615,shake,0.075,0.3404,6,67,5.0,,,,0.0186,2.96,,,,,x,
616,zigzag,0.075,0.2453,6,67,3.0,,,,,,0.0098,3.31,,,,
617,tilt,0.075,0.3717,7,57,2.79,,,,,,,,9.05,2.0,,
618,static,0.085,0.244,5,80,0.76,,,,,,,,,,,0.0146
619,curve,0.085,0.3458,8,50,5.1,0.0907,0.0401,,,,,,,,,
620,stop,0.085,0.3516,7,57,2.66,,,3,,,,,,,,
621,shake,0.085,0.3747,7,57,3.07,,,,0.0076,3.53,,,,,x,
622,zigzag,0.085,0.3073,6,67,2.54,,,,,,0.0116,2.74,,,,
623,tilt,0.085,0.2741,7,57,2.01,,,,,,,,6.51,2.0,,
624,static,0.055,0.3044,7,57,0.95,,,,,,,,,,,0.016
625,curve,0.055,0.3511,5,80,3.05,0.0517,0.0521,,,,,,,,,
626,stop,0.055,0.377,8,50,2.85,,,3,,,,,,,,
627,shake,0.055,0.2925,8,50,5.06,,,,0.0161,3.21,,,,,x,
628,zigzag,0.055,0.366,7,57,4.76,,,,,,0.0274,2.5,,,,
629,tilt,0.055,0.3093,7,57,1.17,,,,,,,,9.35,1.0,,
630,static,0.065,0.3399,7,57,1.06,,,,,,,,,,,0.0188
631,curve,0.065,0.3133,8,50,4.6,0.0817,0.0288,,,,,,,,,
632,stop,0.065,0.3566,5,80,1.58,,,2,,,,,,,,
633,shake,0.065,0.3154,5,80,5.06,,,,0.0211,2.8,,,,,x,
634,zigzag,0.065,0.2666,8,50,3.56,,,,,,0.0166,2.78,,,,
635,tilt,0.065,0.2815,7,57,3.22,,,,,,,,11.07,2.0,,
636,static,0.075,0.2632,8,50,0.82,,,,,,,,,,,0.0128
637,curve,0.075,0.3901,5,80,3.55,0.0606,0.0709,,,,,,,,,
638,stop,0.075,0.2414,7,57,1.07,,,2,,,,,,,,
639,shake,0.075,0.3483,7,57,3.05,,,,0.0092,3.21,,,,,y,
640,zigzag,0.075,0.381,6,67,3.31,,,,,,0.0147,2.79,,,,
641,tilt,0.075,0.339,7,57,2.49,,,,,,,,8.05,2.0,,
642,static,0.085,0.2956,7,57,0.92,,,,,,,,,,,0.0052
643,curve,0.085,0.2616,8,50,2.88,0.0502,0.056,,,,,,,,,
644,stop,0.085,0.2843,7,57,1.26,,,2,,,,,,,,
645,shake,0.085,0.3548,6,67,2.79,,,,0.0113,2.75,,,,,y,
646,zigzag,0.085,0.3461,5,80,2.97,,,,,,0.0122,2.9,,,,
647,tilt,0.085,0.2563,5,80,2.8,,,,,,,,9.57,2.0,,
648,static,0.055,0.3948,5,80,1.23,,,,,,,,,,,0.0035
649,curve,0.055,0.3735,7,57,4.21,0.0735,0.053,,,,,,,,,
650,stop,0.055,0.3549,5,80,1.57,,,2,,,,,,,,
651,shake,0.055,0.2442,7,57,3.48,,,,0.0154,2.71,,,,,y,
652,zigzag,0.055,0.3946,6,67,3.13,,,,,,0.0172,2.49,,,,
653,tilt,0.055,0.3455,7,57,1.1,,,,,,,,12.39,0.0,,
654,static,0.065,0.259,7,57,0.81,,,,,,,,,,,0.0077
655,curve,0.065,0.3645,6,67,3.8,0.0659,0.073,,,,,,,,,
656,stop,0.065,0.3544,5,80,1.57,,,2,,,,,,,,
657,shake,0.065,0.3151,8,50,3.76,,,,0.0111,3.3,,,,,y,
658,zigzag,0.065,0.3254,6,67,2.41,,,,,,0.0083,3.12,,,,
659,tilt,0.065,0.2557,7,57,1.12,,,,,,,,11.3,1.0,,
660,static,0.075,0.3533,6,67,1.1,,,,,,,,,,,0.0125
661,curve,0.075,0.2511,8,50,4.99,0.0896,0.0414,,,,,,,,,
662,stop,0.075,0.3321,8,50,1.47,,,2,,,,,,,,
663,shake,0.075,0.3719,7,57,4.53,,,,0.0122,3.46,,,,,x,
664,zigzag,0.075,0.2597,5,80,3.5,,,,,,0.0147,2.93,,,,
665,tilt,0.075,0.3431,7,57,3.13,,,,,,,,10.5,2.0,,
666,static,0.085,0.3052,8,50,0.95,,,,,,,,,,,0.0088
667,curve,0.085,0.3121,5,80,4.47,0.0793,0.0339,,,,,,,,,
668,stop,0.085,0.3708,5,80,2.8,,,3,,,,,,,,
669,shake,0.085,0.2961,5,80,4.67,,,,0.0152,3.17,,,,,y,
670,zigzag,0.085,0.3415,5,80,2.55,,,,,,0.0105,2.86,,,,
671,tilt,0.085,0.2828,6,67,0.9,,,,,,,,8.11,0.0,,
672,static,0.055,0.3023,6,67,0.94,,,,,,,,,,,0.0183
673,curve,0.055,0.2543,5,80,3.06,0.0538,0.0633,,,,,,,,,
674,stop,0.055,0.24,7,57,1.06,,,2,,,,,,,,
675,shake,0.055,0.3284,5,80,3.34,,,,0.0172,2.48,,,,,x,
676,zigzag,0.055,0.2636,7,57,4.78,,,,,,0.0303,2.4,,,,
677,tilt,0.055,0.2465,5,80,0.91,,,,,,,,6.99,1.0,,
678,static,0.065,0.388,7,57,1.21,,,,,,,,,,,0.0111
679,curve,0.065,0.3962,6,67,2.47,0.0389,0.0538,,,,,,,,,
680,stop,0.065,0.3636,7,57,1.61,,,2,,,,,,,,
681,shake,0.065,0.2747,5,80,2.64,,,,0.0103,2.84,,,,,x,
682,zigzag,0.065,0.3677,6,67,3.83,,,,,,0.0117,3.4,,,,
683,tilt,0.065,0.3693,6,67,1.18,,,,,,,,12.65,0.0,,
684,static,0.075,0.2539,6,67,0.79,,,,,,,,,,,0.0067
685,curve,0.075,0.3691,5,80,2.9,0.0483,0.0462,,,,,,,,,
686,stop,0.075,0.3451,7,57,1.53,,,2,,,,,,,,
687,shake,0.075,0.2571,5,80,4.97,,,,0.0238,2.62,,,,,y,
688,zigzag,0.075,0.2995,8,50,3.6,,,,,,0.0133,3.11,,,,
689,tilt,0.075,0.3036,8,50,0.95,,,,,,,,6.11,0.0,,
690,static,0.085,0.283,5,80,0.88,,,,,,,,,,,0.0067
691,curve,0.085,0.2803,6,67,4.58,0.0818,0.0685,,,,,,,,,
692,stop,0.085,0.3081,6,67,2.33,,,3,,,,,,,,
693,shake,0.085,0.3799,5,80,4.04,,,,0.017,2.75,,,,,x,
694,zigzag,0.085,0.2842,8,50,2.24,,,,,,0.0097,2.8,,,,
695,tilt,0.085,0.2922,6,67,1.02,,,,,,,,6.64,1.0,,
696,static,0.055,0.3411,7,57,1.07,,,,,,,,,,,0.0148
697,curve,0.055,0.3106,8,50,3.98,0.0701,0.0257,,,,,,,,,
698,stop,0.055,0.3661,5,80,2.76,,,3,,,,,,,,
699,shake,0.055,0.2882,6,67,4.68,,,,0.0125,3.5,,,,,y,
700,zigzag,0.055,0.3259,8,50,4.53,,,,,,0.0168,3.12,,,,
701,tilt,0.055,0.3144,8,50,1.0,,,,,,,,10.16,0.0,,
702,static,0.065,0.2536,7,57,0.79,,,,,,,,,,,0.0028
703,curve,0.065,0.2764,8,50,3.38,0.0595,0.0301,,,,,,,,,
704,stop,0.065,0.3602,7,57,1.59,,,2,,,,,,,,
705,shake,0.065,0.388,5,80,3.45,,,,0.0178,2.46,,,,,x,
706,zigzag,0.065,0.2883,6,67,2.61,,,,,,0.0151,2.45,,,,
707,tilt,0.065,0.2821,8,50,2.22,,,,,,,,7.26,2.0,,
708,static,0.075,0.2817,6,67,0.88,,,,,,,,,,,0.0017
709,curve,0.075,0.2738,6,67,2.45,0.0418,0.0635,,,,,,,,,
710,stop,0.075,0.3379,5,80,1.49,,,2,,,,,,,,
711,shake,0.075,0.2527,7,57,3.8,,,,0.0179,2.63,,,,,x,
712,zigzag,0.075,0.316,8,50,2.83,,,,,,0.0117,2.9,,,,
713,tilt,0.075,0.3002,6,67,0.95,,,,,,,,7.77,0.0,,
714,static,0.085,0.3809,6,67,1.19,,,,,,,,,,,0.001
